manufacturer,type,fuel,transmission,drive,paint_color,odometer_mean,odometer_std,odometer_median,odometer_count,year_mean,year_std,year_median,year_count,price_mean,price_std,price_median,price_count,odometer_cv,year_cv,price_cv
acura,coupe,gas,automatic,fwd,white,167196.75,32556.914349006904,169652.5,8,2001.125,5.111262075065193,2001.5,8,3561.75,2829.374527044045,2949.5,8,0.19472217222527893,0.002554194303237026,0.794377630952213
acura,coupe,gas,automatic,rwd,custom,119500.0,28991.378028648447,119500.0,2,2002.0,1.4142135623730951,2002.0,2,2895.0,1548.563850798539,2895.0,2,0.2426056738799033,0.0007064003808057418,0.5349097930219479
acura,coupe,gas,manual,4wd,blue,127875.0,,127875.0,1,2006.0,,2006.0,1,4999.0,,4999.0,1,0.0,0.0,0.0
acura,coupe,gas,manual,fwd,black,158933.66666666666,86080.55448435107,123940.0,3,2001.3333333333333,5.03322295684717,2002.0,3,6266.666666666667,4101.625693957621,7900.0,3,0.5416130911073032,0.0025149348551867937,0.6545147383974926
acura,coupe,gas,manual,fwd,custom,186567.0,,186567.0,1,2003.0,,2003.0,1,6000.0,,6000.0,1,0.0,0.0,0.0
acura,coupe,gas,manual,fwd,green,193757.5,115622.56532571831,193757.5,2,1996.5,3.5355339059327378,1996.5,2,4397.5,3397.6480836013607,4397.5,2,0.5967385279316585,0.0017708659684110882,0.7726317415807529
acura,coupe,gas,manual,fwd,grey,150000.0,,150000.0,1,2006.0,,2006.0,1,1000.0,,1000.0,1,0.0,0.0,0.0
acura,coupe,gas,manual,fwd,red,181333.33333333334,14153.915830374763,189000.0,3,2001.0,3.605551275463989,2002.0,3,6000.0,1802.7756377319947,6500.0,3,0.07805468288809611,0.0018018747003818037,0.3004626062886658
acura,coupe,gas,manual,fwd,silver,322000.0,,322000.0,1,2003.0,,2003.0,1,7500.0,,7500.0,1,0.0,0.0,0.0
acura,coupe,gas,manual,fwd,white,133543.5,62872.399449201876,133543.5,2,2002.0,2.8284271247461903,2002.0,2,7750.0,2474.8737341529163,7750.0,2,0.4708008959567622,0.0014128007616114836,0.3193385463423118
acura,coupe,gas,manual,rwd,black,62774.75,47302.24846928526,52580.0,4,2000.25,6.18465843842649,2003.0,4,78121.25,27940.599306087424,64995.0,4,0.7535234862629522,0.0030919427263724486,0.35765683864617404
acura,hatchback,gas,automatic,4wd,red,237000.0,,237000.0,1,2003.0,,2003.0,1,3000.0,,3000.0,1,0.0,0.0,0.0
acura,hatchback,gas,automatic,fwd,black,147650.0,37264.52736853105,147650.0,2,2003.5,0.7071067811865476,2003.5,2,3945.0,2899.137802864845,3945.0,2,0.2523842016155168,0.0003529357530254792,0.7348891768985666
acura,hatchback,gas,automatic,fwd,blue,180000.0,,180000.0,1,2001.0,,2001.0,1,4000.0,,4000.0,1,0.0,0.0,0.0
acura,hatchback,gas,automatic,fwd,green,178500.0,30405.591591021544,178500.0,2,1997.5,2.1213203435596424,1997.5,2,2375.0,813.1727983645296,2375.0,2,0.17033944868919632,0.001061987656350259,0.34238854667980195
acura,hatchback,gas,automatic,fwd,red,248307.0,,248307.0,1,1998.0,,1998.0,1,2500.0,,2500.0,1,0.0,0.0,0.0
acura,hatchback,gas,automatic,fwd,silver,157926.5,47366.96195134326,157926.5,2,2003.0,4.242640687119285,2003.0,2,5247.5,3885.5517626200785,5247.5,2,0.2999304230217428,0.002118143128866343,0.7404576965450365
acura,hatchback,gas,automatic,fwd,white,157934.5,50848.75574190582,157934.5,2,2003.0,1.4142135623730951,2003.0,2,2750.0,353.5533905932738,2750.0,2,0.32196103917703744,0.0007060477096221144,0.128564869306645
